2010/3/5,43.78,720117
2010/3/8,44.36,907762
2010/3/9,44.48,417203
2010/3/10,44.48,367950
2010/3/11,44.36,358344
2010/3/12,44.32,675578
2010/3/15,43.7,548486
2010/3/16,43.9,698390
2010/3/17,44.77,802914
2010/3/18,44.98,467282
2010/3/19,44.86,292259
2010/3/22,44.4,395093
2010/3/23,44.11,432328
2010/3/24,44.24,1025228
2010/3/25,44.24,774041
2010/3/26,44.65,617381
2010/3/29,45.06,885608
2010/3/30,45.02,413272
2010/3/31,44.86,592799
2010/4/1,45.27,687176
2010/4/2,45.27,309707
2010/4/6,45.72,878633
2010/4/7,45.81,365506
2010/4/8,45.52,498542
2010/4/9,45.64,340098
2010/4/12,45.85,488117
2010/4/13,45.31,633544
2010/4/14,45.64,454766
2010/4/15,45.93,690185
2010/4/16,45.64,615453
2010/4/19,44.36,763951
2010/4/20,44.53,364420
2010/4/21,45.1,397399
2010/4/22,45.02,440887
2010/4/23,45.27,487267
2010/4/26,46.22,620844
2010/4/27,46.18,307309
2010/4/28,45.68,408343
2010/4/29,45.48,280045
2010/4/30,45.31,294390
2010/5/3,45.02,320630
2010/5/4,45.06,552286
2010/5/5,43.82,1064924
2010/5/6,42.95,1601892
2010/5/7,42.95,1445694
2010/5/10,43.33,578961
2010/5/11,43.16,485470
2010/5/12,43.08,409831
2010/5/13,44.03,430734
2010/5/14,43.9,681354
2010/5/17,42.91,628968
2010/5/18,43,303730
2010/5/19,42.54,819466
2010/5/20,42,708054
2010/5/21,41.14,1486407
2010/5/24,41.71,316625
2010/5/25,40.61,1133837
2010/5/26,40.78,724842
2010/5/27,41.06,780824
2010/5/28,41.23,470603
2010/5/31,41.42,224528
2010/6/1,41.2,266323
2010/6/2,40.56,425075
2010/6/3,41.51,272097
2010/6/4,41.38,166897
2010/6/7,40.3,773811
2010/6/8,40.15,332880
2010/6/9,39.84,366848
2010/6/10,40.39,275853
2010/6/11,41.03,284381
2010/6/14,41.63,294057
2010/6/15,41.92,387384
2010/6/17,42.21,304638
2010/6/18,42.09,154626
2010/6/21,43,818409
2010/6/22,42.75,272219
2010/6/23,42.29,392740
2010/6/24,42.42,296866
2010/6/25,41.84,335766
2010/6/28,42,186573
2010/6/29,41.76,591997
2010/6/30,40.97,651633
2010/7/1,40.67,598925
2010/7/2,40.92,306435
2010/7/5,41.76,188215
2010/7/6,42.5,501829
2010/7/7,42.42,228305
2010/7/8,43.04,626395
2010/7/9,43.28,421087
2010/7/12,43.24,471535
2010/7/13,43.12,291326
2010/7/14,43.95,822810
2010/7/15,44.03,585963
2010/7/16,43.74,479369
2010/7/19,43.62,883950
2010/7/20,43.99,436781
2010/7/21,43.74,427477
2010/7/22,43.78,225261
2010/7/23,44.4,999076
2010/7/26,44.53,524481
2010/7/27,44.32,297139
2010/7/28,44.69,736377
2010/7/29,44.73,557556
2010/7/30,44.57,420410
2010/8/2,45.43,697944
2010/8/3,45.64,443670
2010/8/4,45.56,393332
2010/8/5,45.52,551369
2010/8/6,45.64,636191
2010/8/9,45.89,599683
2010/8/10,45.81,421039
2010/8/11,45.23,316690
2010/8/12,44.86,389834
2010/8/13,45.35,373178
2010/8/16,45.48,227991
2010/8/17,45.43,176637
2010/8/18,45.19,305424
2010/8/19,45.43,205909
2010/8/20,45.43,283646
2010/8/23,45.72,417513
2010/8/24,45.43,366609
2010/8/25,44.61,749592
2010/8/26,44.32,502592
2010/8/27,44.53,454575
2010/8/30,44.73,446720
2010/8/31,44.07,475561
2010/9/1,44.4,598370
2010/9/2,44.65,382172
2010/9/3,45.1,333094
2010/9/6,45.43,553365
2010/9/7,45.35,296971
2010/9/8,45.27,308092
2010/9/9,45.27,173808
2010/9/10,45.68,378438
2010/9/13,46.96,1019516
2010/9/14,47.13,859542
2010/9/15,47.34,945155
2010/9/16,46.84,670177
2010/9/17,47.38,1055933
2010/9/20,47.34,390989
2010/9/21,47.42,433059
2010/9/23,47.42,599196
2010/9/24,47.13,313669
2010/9/27,47.54,239351
2010/9/28,47.46,424821
2010/9/29,47.79,703291
2010/9/30,47.71,403020
2010/10/1,47.75,591071
2010/10/4,47.75,977435
2010/10/5,47.46,602863
2010/10/6,47.75,928454
2010/10/7,47.92,512636
2010/10/8,47.63,383702
2010/10/11,47.09,513264
2010/10/12,46.47,582357
2010/10/13,46.76,260715
2010/10/14,47.5,464302
2010/10/15,47.42,150561
2010/10/18,46.47,884763
2010/10/19,46.34,770667
2010/10/20,46.88,723369
2010/10/21,46.92,653928
2010/10/22,47.21,618653
2010/10/25,48.24,926060
2010/10/26,48.46,496931
2010/10/27,48.2,303010
2010/10/28,48.59,259003
2010/10/29,48.16,401298
2010/11/1,48.85,723720
2010/11/2,48.85,325612
2010/11/3,48.76,751987
2010/11/4,49.06,460577
2010/11/5,49.58,1089796
2010/11/8,49.49,564458
2010/11/9,49.62,230210
2010/11/10,49.58,1049072
2010/11/11,49.45,497131
2010/11/12,48.46,691923
2010/11/15,48.29,414589
2010/11/16,48.8,398490
2010/11/17,48.59,347068
