0,0,gbest,101,97,246,179,1023680,,,,,,
1,0,gbest,84,45,101,83,1023680,,,,,,
0,1,gbest,128,122,63,12,1017570,,,,,,
1,1,gbest,227,242,252,199,1026900,,,,,,
0,1,gbest,69,4,93,46,1050340,,,,,,
1,1,gbest,71,14,29,35,1050340,,,,,,
0,0,gbest,18,70,56,40,1037860,,,,,,
1,0,gbest,18,4,5,2,1052470,,,,,,
0,1,gbest,47,28,11,91,1039780,,,,,,
1,1,gbest,164,6,8,29,1039780,,,,,,
0,0,gbest,108,1,61,1,1062870,,,,,,
1,0,gbest,20,34,124,30,1055400,,,,,,
0,1,gbest,188,9,123,236,1031350,,,,,,
1,1,gbest,191,3,65,68,1040480,,,,,,
0,0,gbest,2,98,90,113,1031120,,,,,,
1,0,gbest,255,233,52,26,1031120,,,,,,
0,1,gbest,41,40,250,197,1037090,,,,,,
1,1,gbest,68,108,104,48,1048900,,,,,,
0,1,gbest,62,13,200,39,1037720,,,,,,
1,1,gbest,64,8,108,99,1037720,,,,,,
0,1,gbest,6,5,139,130,1044150,,,,,,
1,1,gbest,58,1,163,126,1038770,,,,,,
0,0,gbest,70,49,169,187,1021850,,,,,,
1,0,gbest,2,32,58,70,1004330,,,,,,
0,1,gbest,23,20,28,6,1053680,,,,,,
1,1,gbest,10,89,108,8,1053680,,,,,,
0,1,gbest,15,1,89,84,1063940,,,,,,
1,1,gbest,198,213,27,57,1053110,,,,,,
0,0,gbest,221,224,234,227,1020600,,,,,,
1,0,gbest,28,237,227,237,1019000,,,,,,
0,1,gbest,13,1,231,46,1031960,,,,,,
1,1,gbest,153,37,115,41,1029470,,,,,,
0,1,gbest,6,3,160,114,1044330,,,,,,
1,1,gbest,156,238,52,52,1044330,,,,,,
0,0,gbest,85,17,144,59,1000000,,,,,,
1,0,gbest,124,161,9,2,1027780,,,,,,
0,0,gbest,33,5,22,17,1061360,,,,,,
1,1,gbest,43,2,6,30,1066130,,,,,,
0,0,gbest,29,43,47,54,1001400,,,,,,
1,0,gbest,61,227,26,21,999999,,,,,,
0,1,gbest,118,20,33,80,1056030,,,,,,
1,1,gbest,129,14,9,105,1075280,,,,,,
0,1,gbest,73,78,212,244,1040040,,,,,,
1,1,gbest,23,47,57,100,1048710,,,,,,
0,0,gbest,161,2,100,14,1057450,,,,,,
1,1,gbest,124,80,94,33,1056640,,,,,,
0,0,gbest,33,2,107,73,1065470,,,,,,
1,0,gbest,138,1,18,16,1065470,,,,,,
0,0,gbest,154,139,112,101,1038890,,,,,,
1,1,gbest,152,115,145,83,1044410,,,,,,
0,1,gbest,28,2,4,3,1040380,,,,,,
1,1,gbest,169,167,162,160,1025280,,,,,,
0,0,gbest,49,2,35,18,1078100,,,,,,
1,0,gbest,213,33,36,33,1059630,,,,,,
0,0,gbest,27,2,25,2,1033080,,,,,,
1,1,gbest,163,171,157,156,1015610,,,,,,
0,1,gbest,120,10,38,1,1041940,,,,,,
1,1,gbest,120,10,15,14,1041940,,,,,,
0,0,gbest,14,12,89,100,1039530,,,,,,
1,1,gbest,250,13,48,53,1012100,,,,,,
0,1,gbest,239,240,25,35,1083590,,,,,,
1,1,gbest,159,96,37,191,1091120,,,,,,
0,0,gbest,234,87,100,233,1061290,,,,,,
1,1,gbest,21,2,103,225,1059430,,,,,,
0,0,gbest,28,33,115,1,1052500,,,,,,
1,0,gbest,190,169,102,2,1053950,,,,,,
0,0,gbest,108,10,12,9,1063480,,,,,,
1,1,gbest,234,235,114,11,1036390,,,,,,
